source,date_raw,title,text,date,full_text
ТАСС,"Thu, 11 Jun 2026 22:07:40 +0300",МИД Венгрии: венгры в Закарпатье вновь смогут пользоваться родным языком,"Глава ведомства Анита Орбан сообщила, что Украина обязалась восстановить систему школ для этнического меньшинства",2026-06-11 22:07:40,"МИД Венгрии: венгры в Закарпатье вновь смогут пользоваться родным языком Глава ведомства Анита Орбан сообщила, что Украина обязалась восстановить систему школ для этнического меньшинства"
ТАСС,"Thu, 11 Jun 2026 22:07:38 +0300",Хуго Брос стал самым возрастным главным тренером в истории чемпионатов мира,,2026-06-11 22:07:38,Хуго Брос стал самым возрастным главным тренером в истории чемпионатов мира
РИА Новости,"Thu, 11 Jun 2026 22:07:25 +0300","В Самарской области подросток погиб, пытаясь переплыть реку на плоту",,2026-06-11 22:07:25,"В Самарской области подросток погиб, пытаясь переплыть реку на плоту"
ТАСС,"Thu, 11 Jun 2026 22:06:12 +0300",На ЧМ-2026 впервые прошла предматчевая церемония с участием всех футболистов,Футболисты сборных Мексики и ЮАР выстроились вокруг центрального круга вместе с арбитрами,2026-06-11 22:06:12,На ЧМ-2026 впервые прошла предматчевая церемония с участием всех футболистов Футболисты сборных Мексики и ЮАР выстроились вокруг центрального круга вместе с арбитрами
РИА Новости,"Thu, 11 Jun 2026 22:02:11 +0300","ЕС делает все, чтобы конфликт на Украине продолжался, заявил посол Мешков",,2026-06-11 22:02:11,"ЕС делает все, чтобы конфликт на Украине продолжался, заявил посол Мешков"
РИА Новости,"Thu, 11 Jun 2026 22:02:11 +0300",Захарова отреагировала на удар ВСУ по автозаправке в Брянской области,,2026-06-11 22:02:11,Захарова отреагировала на удар ВСУ по автозаправке в Брянской области
ТАСС,"Thu, 11 Jun 2026 22:01:36 +0300",Кабмин обязал передать Центрэнергохолдингу в доверительное управление акции ТГК-2,,2026-06-11 22:01:36,Кабмин обязал передать Центрэнергохолдингу в доверительное управление акции ТГК-2
РИА Новости,"Thu, 11 Jun 2026 22:01:04 +0300",Аэропорт Антальи работает в штатном режиме после инцидента с самолетом,,2026-06-11 22:01:04,Аэропорт Антальи работает в штатном режиме после инцидента с самолетом
ТАСС,"Thu, 11 Jun 2026 21:59:31 +0300","Ташуев считает, что сборная Марокко может стать командой-сенсацией чемпионата мира",,2026-06-11 21:59:31,"Ташуев считает, что сборная Марокко может стать командой-сенсацией чемпионата мира"
РИА Новости,"Thu, 11 Jun 2026 21:58:51 +0300",В Брюсселе запретят прокатные электросамокаты,,2026-06-11 21:58:51,В Брюсселе запретят прокатные электросамокаты
